ip_address,hostname,fqdn,region,status,vendor,model,role
10.40.212.94,JAXFLSW86,JAXFLSW86.southeast.lightspeed.net,southeast,active,Cisco,Catalyst9300,sw
10.10.161.206,DALTXSW40,DALTXSW40.central.lightspeed.net,central,degraded,Cisco,Catalyst9300,sw
10.20.56.17,PITPAED04,PITPAED04.east.lightspeed.net,east,active,Juniper,SRX345,edge
10.60.80.81,PHLPADS43,PHLPADS43.northeast.lightspeed.net,northeast,degraded,ADVA,FSP150,dist
10.30.194.72,LAXCAED76,LAXCAED76.west.lightspeed.net,west,active,RAD,ETX-2,edge
10.30.128.100,LAXCASW59,LAXCASW59.west.lightspeed.net,west,active,Cisco,Catalyst9300,sw
10.60.1.134,PHLPAED86,PHLPAED86.northeast.lightspeed.net,northeast,active,Cisco,ISR4431,edge
10.30.57.250,LAXCASW97,LAXCASW97.west.lightspeed.net,west,down,Cisco,Catalyst9300,sw
10.70.173.140,PORORED40,PORORED40.northwest.lightspeed.net,northwest,active,RAD,ETX-2,edge
10.10.10.76,DALTXED76,DALTXED76.central.lightspeed.net,central,active,Cisco,ISR4431,edge
10.60.147.250,BOSMAED52,BOSMAED52.northeast.lightspeed.net,northeast,retired,Cisco,ISR4431,edge
10.10.74.141,DALTXED35,DALTXED35.central.lightspeed.net,central,active,RAD,ETX-2,edge
10.30.133.167,LAXCADS87,LAXCADS87.west.lightspeed.net,west,active,Juniper,QFX5120,dist
10.60.246.120,PHLPASW98,PHLPASW98.northeast.lightspeed.net,northeast,active,Cisco,Catalyst9300,sw
10.70.214.109,PORORDS33,PORORDS33.northwest.lightspeed.net,northwest,active,ADVA,FSP150,dist
10.60.137.84,NYCNYDS17,NYCNYDS17.northeast.lightspeed.net,northeast,active,ADVA,FSP150,dist
10.30.99.158,SEAWASW03,SEAWASW03.west.lightspeed.net,west,active,Cisco,Catalyst9300,sw
10.60.101.155,NYCNYRT45,NYCNYRT45.northeast.lightspeed.net,northeast,degraded,Arista,7050X3,rtr
10.70.122.189,PORORRT19,PORORRT19.northwest.lightspeed.net,northwest,active,Arista,7050X3,rtr
10.30.245.151,SFOCAED25,SFOCAED25.west.lightspeed.net,west,active,RAD,ETX-2,edge
10.30.255.65,SFOCASW08,SFOCASW08.west.lightspeed.net,west,active,Cisco,Catalyst9300,sw
10.10.109.216,AUSTXSW36,AUSTXSW36.central.lightspeed.net,central,active,Cisco,Catalyst9300,sw
10.60.200.222,NYCNYRT19,NYCNYRT19.northeast.lightspeed.net,northeast,active,Arista,7050X3,rtr
10.10.20.189,OKCOKRT50,OKCOKRT50.central.lightspeed.net,central,degraded,Arista,7050X3,rtr
10.70.32.173,GEGWAED03,GEGWAED03.northwest.lightspeed.net,northwest,degraded,RAD,ETX-2,edge
10.60.92.218,PHLPART42,PHLPART42.northeast.lightspeed.net,northeast,active,Arista,7050X3,rtr
10.30.7.247,SFOCACO41,SFOCACO41.west.lightspeed.net,west,active,Juniper,MX204,core
10.60.147.206,NYCNYAG57,NYCNYAG57.northeast.lightspeed.net,northeast,active,Arista,7280R,agg
10.70.221.69,GEGWASW87,GEGWASW87.northwest.lightspeed.net,northwest,degraded,Cisco,Catalyst9300,sw
10.10.138.16,AUSTXRT11,AUSTXRT11.central.lightspeed.net,central,down,Arista,7050X3,rtr
10.70.40.231,GEGWASW15,GEGWASW15.northwest.lightspeed.net,northwest,degraded,Cisco,Catalyst9300,sw
10.30.118.137,SFOCART49,SFOCART49.west.lightspeed.net,west,active,Arista,7050X3,rtr
10.60.99.118,PHLPADS80,PHLPADS80.northeast.lightspeed.net,northeast,retired,Juniper,QFX5120,dist
10.30.224.15,SFOCAAG77,SFOCAAG77.west.lightspeed.net,west,degraded,ADVA,FSP3000,agg
10.20.220.46,CLTNCED43,CLTNCED43.east.lightspeed.net,east,active,RAD,ETX-2,edge
10.70.156.121,BOIIDED88,BOIIDED88.northwest.lightspeed.net,northwest,degraded,Cisco,ISR4431,edge
10.10.204.24,DALTXDS51,DALTXDS51.central.lightspeed.net,central,degraded,ADVA,FSP150,dist
10.40.247.156,JAXFLED37,JAXFLED37.southeast.lightspeed.net,southeast,active,RAD,ETX-2,edge
10.60.175.43,PHLPART81,PHLPART81.northeast.lightspeed.net,northeast,down,Arista,7050X3,rtr
10.30.155.30,SFOCADS42,SFOCADS42.west.lightspeed.net,west,active,ADVA,FSP150,dist
10.60.76.168,BOSMAAG47,BOSMAAG47.northeast.lightspeed.net,northeast,degraded,ADVA,FSP3000,agg
10.20.229.26,ATLGACO28,ATLGACO28.east.lightspeed.net,east,active,Nokia,7750 SR-1,core
10.30.208.137,SEAWADS71,SEAWADS71.west.lightspeed.net,west,active,Juniper,QFX5120,dist
10.30.156.155,SFOCAED17,SFOCAED17.west.lightspeed.net,west,active,Juniper,SRX345,edge
10.70.140.11,BOIIDAG64,BOIIDAG64.northwest.lightspeed.net,northwest,active,Arista,7280R,agg
10.20.181.125,ATLGAED61,ATLGAED61.east.lightspeed.net,east,down,RAD,ETX-2,edge
10.30.184.47,SEAWAED73,SEAWAED73.west.lightspeed.net,west,retired,Cisco,ISR4431,edge
10.60.146.167,PHLPASW75,PHLPASW75.northeast.lightspeed.net,northeast,active,Cisco,Catalyst9300,sw
